place,mobility,coefficient,p_val,period,wave,Significant (p<0.01)
halton,Workplaces,0.4435910079017004,2.4135189180629954e-4,7 Days after lockdown,Wave 1,Yes
halton,Residential,-0.3918693944318124,0.0013634081199570282,7 Days after lockdown,Wave 1,Yes
halton,Global,0.6044718714815316,1.2283246751391e-7,7 Days after lockdown,Wave 1,Yes
york,Retail,0.8338857028776718,1.1943150145337137e-17,7 Days after lockdown,Wave 1,Yes
york,Grocery,0.6814557169204644,5.722105356032226e-10,7 Days after lockdown,Wave 1,Yes
york,Parks,0.02598173185304567,0.838516370861744,7 Days after lockdown,Wave 1,No
york,Transit,0.804394957880511,1.1856502477598326e-15,7 Days after lockdown,Wave 1,Yes
york,Workplaces,0.7724143788156853,7.738894210062438e-14,7 Days after lockdown,Wave 1,Yes
york,Residential,-0.6725970656349848,1.1509589631541946e-9,7 Days after lockdown,Wave 1,Yes
york,Global,0.6833090637705904,4.928570878908233e-10,7 Days after lockdown,Wave 1,Yes
durham,Retail,0.7526920161706384,7.371943716569363e-13,14 Days after lockdown,Wave 1,Yes
durham,Grocery,0.46520738952486934,1.0742243596599363e-4,14 Days after lockdown,Wave 1,Yes
durham,Parks,0.3080255809092894,0.013280192685431541,14 Days after lockdown,Wave 1,No
durham,Transit,0.7806070884556122,2.836756182523717e-14,14 Days after lockdown,Wave 1,Yes
durham,Workplaces,0.7637609202083134,2.1372131786401944e-13,14 Days after lockdown,Wave 1,Yes
durham,Residential,-0.7148007632327977,3.264036159298262e-11,14 Days after lockdown,Wave 1,Yes
durham,Global,0.6904983086802166,2.733256210031346e-10,14 Days after lockdown,Wave 1,Yes
peel,Retail,0.8948081599723714,2.170479685240905e-23,14 Days after lockdown,Wave 1,Yes
peel,Grocery,0.6270701640336978,2.956587987450841e-8,14 Days after lockdown,Wave 1,Yes
peel,Parks,0.6736721824564947,1.0587140131157983e-9,14 Days after lockdown,Wave 1,Yes
peel,Transit,0.918135662591543,1.303248236930063e-26,14 Days after lockdown,Wave 1,Yes
peel,Workplaces,0.8793290972559759,1.206813956989733e-21,14 Days after lockdown,Wave 1,Yes
peel,Residential,-0.8109755480566229,4.558982061423606e-16,14 Days after lockdown,Wave 1,Yes
peel,Global,0.8763087109641481,2.4788696283691248e-21,14 Days after lockdown,Wave 1,Yes
toronto,Retail,0.822746218731369,7.490619992868642e-17,14 Days after lockdown,Wave 1,Yes
toronto,Grocery,0.6707996866175049,1.322453896294148e-9,14 Days after lockdown,Wave 1,Yes
toronto,Parks,0.5127044019598596,1.4815941486931964e-5,14 Days after lockdown,Wave 1,Yes
toronto,Transit,0.8210834899018835,9.744789973593935e-17,14 Days after lockdown,Wave 1,Yes
toronto,Workplaces,0.7809757357237715,2.7087743910324744e-14,14 Days after lockdown,Wave 1,Yes
toronto,Residential,-0.717708448050128,2.4942317997057964e-11,14 Days after lockdown,Wave 1,Yes
toronto,Global,0.796747313959869,3.4440715414203205e-15,14 Days after lockdown,Wave 1,Yes
halton,Retail,0.8130862359405562,3.3288547109662784e-16,14 Days after lockdown,Wave 1,Yes
halton,Grocery,0.7426920373232119,2.136572301165146e-12,14 Days after lockdown,Wave 1,Yes
halton,Parks,0.3534419264381175,0.004171402872737993,14 Days after lockdown,Wave 1,Yes
halton,Transit,0.7823995923403622,2.2644948071377915e-14,14 Days after lockdown,Wave 1,Yes
halton,Workplaces,0.7815813673434254,2.5104475253912257e-14,14 Days after lockdown,Wave 1,Yes
halton,Residential,-0.7149096296501583,3.231522357596347e-11,14 Days after lockdown,Wave 1,Yes
halton,Global,0.7786255585116096,3.630216438484031e-14,14 Days after lockdown,Wave 1,Yes
york,Retail,0.7997993171247298,2.262801188188267e-15,14 Days after lockdown,Wave 1,Yes
york,Grocery,0.5749072228925077,6.752586927446765e-7,14 Days after lockdown,Wave 1,Yes
york,Parks,0.12078496831522673,0.34174558804132105,14 Days after lockdown,Wave 1,No
york,Transit,0.8121988736911694,3.801201440815907e-16,14 Days after lockdown,Wave 1,Yes
york,Workplaces,0.7891242155655209,9.53914996474233e-15,14 Days after lockdown,Wave 1,Yes
york,Residential,-0.7272985143078725,1.0026059624275523e-11,14 Days after lockdown,Wave 1,Yes
york,Global,0.70453277947254,8.222554990912201e-11,14 Days after lockdown,Wave 1,Yes
durham,Retail,0.05709928463911259,0.6846629011195906,Lockdown,Wave 2,No
durham,Grocery,-0.010619907159177969,0.9398386967634966,Lockdown,Wave 2,No
durham,Parks,0.10451458569753956,0.45640616828659564,Lockdown,Wave 2,No
durham,Transit,0.18505169123816542,0.18465335762567586,Lockdown,Wave 2,No
durham,Workplaces,-0.2748739368997844,0.046376796072056865,Lockdown,Wave 2,No
durham,Residential,0.1436669773460533,0.30474664797847206,Lockdown,Wave 2,No
durham,Global,-2.974558162105275e-4,0.9983133749636106,Lockdown,Wave 2,No
peel,Retail,0.13225844613967735,0.2680853159355337,Lockdown,Wave 2,No
peel,Grocery,0.13332991274109435,0.2641930227360951,Lockdown,Wave 2,No
peel,Parks,0.14869368313005835,0.2125554871897575,Lockdown,Wave 2,No
peel,Transit,0.30001749043660414,0.010453495626476007,Lockdown,Wave 2,No
peel,Workplaces,-0.25944047210776483,0.027755245055076424,Lockdown,Wave 2,No
