t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end,Region
182,188,1.4522828576834064,0.1360187518909595,1.1979542702448782,1.2360249313425715,1.3583730797031257,1.4480386310303945,1.5415668492814933,1.683018868865413,1.7307283522678165,2020-09-16,2020-09-22,Halton
183,189,1.3131323250044902,0.12407934180292586,1.0812290942872942,1.115919469052699,1.2274493874599057,1.3092262676251145,1.3945580629800671,1.52366969934162,1.5672308442893048,2020-09-17,2020-09-23,Halton
184,190,1.2219188404811032,0.11650539014930845,1.0042686803541223,1.0368043567679275,1.141450352656806,1.218218057507785,1.298353872199367,1.4196576119323265,1.4605978202844176,2020-09-18,2020-09-24,Halton
185,191,0.9437259536721506,0.10060152468314207,0.7568958110123365,0.7845683796131749,0.8740649064053138,0.940153651365903,1.0094937850884536,1.1150696796719803,1.1508542673333608,2020-09-19,2020-09-25,Halton
186,192,0.9058475248447603,0.09942968322807776,0.7215024971394742,0.7487357109012055,0.8369492798534739,0.9022121917851038,0.9707839253997286,1.0753605507872641,1.1108486900704115,2020-09-20,2020-09-26,Halton
187,193,1.0165076626316456,0.1071493157643343,0.8173922004970503,0.846913370469813,0.9423324301392028,1.01274530841125,1.086582529667776,1.1989364117442063,1.2370012581690026,2020-09-21,2020-09-27,Halton
188,194,1.0573763759999646,0.10964482250610787,0.8534392020557514,0.883717878849053,0.9815028322885315,1.053588920902335,1.1291221631586592,1.243954932302939,1.2828344077848761,2020-09-22,2020-09-28,Halton
189,195,1.059217821125399,0.10924997651246829,0.8559558188186412,0.8861479538648103,0.9836269227257584,1.0554641066727521,1.1307177240860282,1.2450926412517709,1.2838089932352554,2020-09-23,2020-09-29,Halton
190,196,1.0600893086247438,0.1087628681925905,0.8576755554540857,0.8877551175597207,0.9848446764676236,1.0563720261659124,1.1312826400703306,1.245104165638033,1.2836252496798464,2020-09-24,2020-09-30,Halton
191,197,0.9727718680141044,0.1036978295555962,0.7801914836669909,0.8087157561486797,0.9009667991655678,0.9690896177018842,1.0405638959573131,1.1493891961322786,1.1862751586831917,2020-09-25,2020-10-01,Halton
192,198,1.2358518299461279,0.11730186459587248,1.0166643544759755,1.0494412877304484,1.1548412037467566,1.2321425510349282,1.3128197325222632,1.4349156362754225,1.4761164232152755,2020-09-26,2020-10-02,Halton
193,199,1.2106394835752432,0.11388738262883727,0.9977382823917298,1.0295969670361924,1.1320021461466183,1.2070701545210136,1.2853866132766374,1.4038578507228192,1.443822611093408,2020-09-27,2020-10-03,Halton
194,200,1.2376506189176262,0.11251369262887512,1.0269696660211611,1.058576863908688,1.16001823368759,1.2342427879138222,1.3115687614093183,1.428349280084813,1.4676959652167876,2020-09-28,2020-10-04,Halton
195,201,1.242122024285611,0.1102205063738957,1.035501166234369,1.0665535953030767,1.1661100514988385,1.2388633870873895,1.3145823298637949,1.4288064020593236,1.467259600446656,2020-09-29,2020-10-05,Halton
196,202,1.363109662512515,0.1128117583506144,1.1509739708165396,1.1830082606427472,1.2854187288440913,1.3599988063207924,1.4374099166867327,1.553822842325114,1.5929225591526768,2020-09-30,2020-10-06,Halton
197,203,1.483861841524276,0.1138070080735705,1.2691830032620612,1.3017580268978612,1.4055971896604587,1.4809533248971856,1.5589562813906133,1.6758871619613576,1.715068308480233,2020-10-01,2020-10-07,Halton
198,204,1.686965858397246,0.11586129083581499,1.4675100932496814,1.501020926298207,1.607440442496306,1.6843141390620178,1.7636008853153107,1.8819562570050088,1.9214902260190618,2020-10-02,2020-10-08,Halton
199,205,1.6091391400161696,0.10610349279035515,1.4078838264633258,1.4386814521384912,1.536359326533925,1.6068076561195608,1.679377600741057,1.7875499015212075,1.8236433551630982,2020-10-03,2020-10-09,Halton
200,206,1.5084094901928384,0.09676451391233572,1.3247006069643807,1.3528523770512517,1.4420642248554378,1.5063408467241697,1.5724998904095562,1.6710230766753136,1.7038736914125876,2020-10-04,2020-10-10,Halton
201,207,1.3251039012161283,0.08644024744759157,1.1610864409290589,1.186199465624918,1.2658218260386696,1.3232247959191723,1.3823377186773769,1.470418269824428,1.499799586821175,2020-10-05,2020-10-11,Halton
202,208,1.2628527599185535,0.08185858612773338,1.1074961461072919,1.131290745188635,1.2067184487471634,1.2610844996361805,1.3170596339365184,1.4004465956597372,1.4282577167315589,2020-10-06,2020-10-12,Halton
203,209,1.2033235102402244,0.07816426148441788,1.054988571193745,1.0777053023124201,1.1497208045151053,1.20163149593826,1.2550818891464026,1.3347134523739204,1.3612735135489853,2020-10-07,2020-10-13,Halton
204,210,1.2117796814563746,0.07710369473943328,1.0653582216804631,1.0878051379379687,1.158921256418596,1.2101447441740227,1.2628559874768814,1.3413312553005141,1.3674918789464023,2020-10-08,2020-10-14,Halton
205,211,1.0464639524046275,0.0703927830680445,0.9130347880596694,0.9334319370653366,0.9981638159534565,1.044885999330231,1.0930441033138925,1.164878629201549,1.1888599803343611,2020-10-09,2020-10-15,Halton
206,212,0.9686413987300645,0.06748844415048465,0.840874852166177,0.8603695806606145,0.9223073398628608,0.9670744695080626,1.0132675014905903,1.082258283192182,1.105312127603445,2020-10-10,2020-10-16,Halton
207,213,0.9778306721035291,0.06829465655298333,0.8485490799350994,0.8682723480311932,0.9309412046079257,0.9762411639613832,1.022987573393763,1.0928110838336116,1.1161447501232133,2020-10-11,2020-10-17,Halton
